Make,Model,Variant,Displacement,Cylinders,Fuel_Tank_Capacity,Fuel_Type,Mileage,Mileage,Gross_Vehicle_Weight,Kerb_Weight
Maruti Suzuki,Alto K10,Vxi (O),998,3,35,Petrol,14,14,1210 kg,755 kg
Maruti Suzuki,Alto K10,Lxi Cng (O),998,3,35,CNG,32.26,32.26,1210 kg,740 kg
Maruti Suzuki,Alto K10,Vxi Amt (O),998,3,35,Petrol,14,14,1210 kg,755 kg
Datsun,Go,D,1198,3,35,Petrol,20.1,20.1,,864 kg
Datsun,Go,T,1198,3,35,Petrol,20.1,20.1,,864 kg
Datsun,Go,T (O),1198,3,35,Petrol,20.6,20.6,,864 kg
Datsun,Go,A (O),1198,3,35,Petrol,20.6,20.6,,864 kg
Datsun,Go,A,1198,3,35,Petrol,20.6,20.6,,864 kg
Datsun,Go,T Vdc,1198,3,35,Petrol,20.1,20.1,,864 kg
Datsun,Go,T (O) Vdc,1198,3,35,Petrol,20.6,20.6,,864 kg
Datsun,Go,T Cvt,1198,3,35,Petrol,20.1,20.1,,864 kg
Datsun,Go,T (O) Cvt,1198,3,35,Petrol,20.6,20.6,,864 kg
Maruti Suzuki,Celerio Tour,H2,998,3,35,Petrol,23,23,1250 kg,830 kg
Maruti Suzuki,Celerio Tour,H2 Cng,998,3,60,CNG,31.76,31.76,1350 kg,915 kg
Hyundai,Santro,Era Mt,1086,4,35,Petrol,20.3,20.3,,
Hyundai,Santro,Magna Mt,1086,4,35,Petrol,20.3,20.3,,
Hyundai,Santro,Magna Mt Cng,1086,4,35,CNG,30.48,30.48,,
Hyundai,Santro,Magna Amt,1086,4,35,Petrol,20.3,20.3,,
Hyundai,Santro,Sportz Mt,1086,4,35,Petrol,20.3,20.3,,
Hyundai,Santro,Sportz Mt Cng,1086,4,60,CNG,30.48,30.48,,
Hyundai,Santro,Sportz Amt,1086,4,35,Petrol,20.3,20.3,,
Hyundai,Santro,Asta Mt,1086,4,35,Petrol,20.3,20.3,,
Tata,Tiago,Revotron Xe,1199,3,35,Petrol,23,23,,935 kg
Tata,Tiago,Revotron Xt,1199,3,35,Petrol,23.84,23.84,,930 kg
Tata,Tiago,Revotron Xz,1199,3,35,Petrol,23.84,23.84,,930 kg
Tata,Tiago,Revotron Xz Plus,1199,3,35,Petrol,23.84,23.84,,930 kg
Tata,Tiago,Revotron Xz Plus Dual Tone,1199,3,35,Petrol,23.84,23.84,,930 kg
Tata,Tiago,Revotron Xza,1199,3,35,Petrol,23.84,23.84,,930 kg
Tata,Tiago,Revotron Xza Plus,1199,3,35,Petrol,23.84,23.84,,930 kg
Tata,Tiago,Revotron Xza Plus Dual Tone,1199,3,35,Petrol,23.84,23.84,,930 kg
Maruti Suzuki,Celerio X,Vxi (O),998,3,35,Petrol,23,23,1250 kg,810 kg
Maruti Suzuki,Celerio X,Vxi,998,3,35,Petrol,23,23,1250 kg,810 kg
Maruti Suzuki,Celerio X,Vxi Amt,998,3,35,Petrol,23,23,1250 kg,810 kg
Maruti Suzuki,Celerio X,Vxi Amt (O),998,3,35,Petrol,23,23,1250 kg,810 kg
Maruti Suzuki,Celerio X,Zxi,998,3,35,Petrol,23,23,1250 kg,810 kg
Maruti Suzuki,Celerio X,Zxi (O),998,3,35,Petrol,23,23,1250 kg,810 kg
Maruti Suzuki,Celerio X,Zxi Amt,998,3,35,Petrol,23,23,1250 kg,810 kg
Maruti Suzuki,Celerio X,Zxi Amt (O),998,3,35,Petrol,23,23,1250 kg,810 kg
Maruti Suzuki,Ignis,Alpha 1.2 Amt,1197,4,32,Petrol,20.89,20.89,,860 kg
Maruti Suzuki,Ignis,Alpha 1.2 Mt,1197,4,32,Petrol,20.89,20.89,,860 kg
Maruti Suzuki,Ignis,Delta 1.2 Amt,1197,4,32,Petrol,20.89,20.89,,825 kg
Maruti Suzuki,Ignis,Delta 1.2 Mt,1197,4,32,Petrol,20.89,20.89,,825 kg
Maruti Suzuki,Ignis,Sigma 1.2 Mt,1197,4,32,Petrol,20.89,20.89,,825 kg
Maruti Suzuki,Ignis,Zeta 1.2 Amt,1197,4,32,Petrol,15.1,15.1,,
Maruti Suzuki,Ignis,Zeta 1.2 Mt,1197,4,32,Petrol,20.89,20.89,,
Renault,Triber,Rxe,999,3,40,Petrol,20.5,20.5,,947 kg
Renault,Triber,Rxl,999,3,40,Petrol,20.5,20.5,,947 kg
Renault,Triber,Rxt,999,3,40,Petrol,20.5,20.5,,947 kg
Renault,Triber,Rxz,999,3,40,Petrol,20.5,20.5,,947 kg
Premier,Rio,Gx,1173,4,46,Petrol,13,13,1530 kg,1080 kg
Premier,Rio,Ex,1489,4,46,Diesel,12,12,1530 kg,1145 kg
Premier,Rio,Glx,1173,4,46,Petrol,13,13,1530 kg,1080 kg
Premier,Rio,Dx,1489,4,46,Diesel,12,12,1530 kg,1145 kg
Premier,Rio,Lx,1489,4,46,Diesel,12,12,1530 kg,1145 kg
Premier,Rio,Crdi4,1248,4,46,Diesel,20,20,1530 kg,1145 kg
Toyota,Etios Liva,G,1197,4,45,Petrol,15.1,15.1,1475 kg,895 kg
Toyota,Etios Liva,V,1197,4,45,Petrol,15.1,15.1,1475 kg,895 kg
Toyota,Etios Liva,Gd,1364,4,45,Diesel,20.3,20.3,1475 kg,895 kg
Toyota,Etios Liva,Vx,1197,4,45,Petrol,15.1,15.1,1475 kg,895 kg
Toyota,Etios Liva,Vxd,1364,4,45,Diesel,20.3,20.3,1475 kg,895 kg
Toyota,Etios Liva,Vd,1364,4,45,Diesel,20.3,20.3,1475 kg,895 kg
Toyota,Etios Liva,Dual Tone V,1197,4,45,Petrol,15.1,15.1,1475 kg,895 kg
Toyota,Etios Liva,Dual Tone Vd,1364,4,45,Diesel,20.3,20.3,1475 kg,895 kg
Toyota,Etios Liva,Dual Tone Vx,1197,4,45,Petrol,15.1,15.1,1475 kg,895 kg
Toyota,Etios Liva,Dual Tone Vxd,1364,4,45,Diesel,20.3,20.3,1475 kg,895 kg
Toyota,Etios Liva,Gx,1197,4,45,Petrol,15.1,15.1,1475 kg,895 kg
Toyota,Etios Liva,Gxd,1364,4,45,Diesel,20.3,20.3,1475 kg,895 kg
Toyota,Etios Liva,Vx Dual Tone Limited Edition,1197,4,45,Petrol,15.1,15.1,1475 kg,895 kg
Toyota,Etios Liva,Vxd Dual Tone Limited Edition,1364,4,45,Diesel,20.3,20.3,1475 kg,895 kg
Nissan,Micra Active,Xl,1198,3,41,Petrol,18.97,18.97,,
Nissan,Micra Active,Xv,1198,3,41,Petrol,19.49,19.49,,
Nissan,Micra Active,Xl (O),1198,3,41,Petrol,18.97,18.97,,
Tata,Bolt,Xt Diesel,1248,4,44,Diesel,22.95,22.95,1160 kg,1132 kg
Tata,Bolt,Xe Diesel,1248,4,44,Diesel,22.95,22.95,1160 kg,1132 kg
Tata,Bolt,Xm Diesel,1248,4,44,Diesel,22.95,22.95,1160 kg,1132 kg
Tata,Bolt,Xms Diesel,1248,4,44,Diesel,22.95,22.95,1160 kg,1132 kg
Tata,Bolt,Xt Petrol,1193,4,44,Petrol,17.57,17.57,1125 kg,1095 kg
Tata,Bolt,Xe Petrol,1193,4,44,Petrol,17.57,17.57,1125 kg,1095 kg
Tata,Bolt,Xm Petrol,1193,4,44,Petrol,17.57,17.57,1125 kg,1095 kg
Tata,Bolt,Xms Petrol,1193,4,44,Petrol,17.57,17.57,1125 kg,1095 kg
Hyundai,Xcent Prime,Cng T + (Cng +,1197,4,43,CNG + Petrol,25,25,1530 kg,1100 kg
Hyundai,Xcent Prime,T,1197,4,43,Petrol,15.7,15.7,1530 kg,1100 kg
Hyundai,Xcent Prime,T+,1197,4,43,Petrol,15.7,15.7,1530 kg,1100 kg
Hyundai,Xcent Prime,Cng T (Cng +,1197,4,43,CNG + Petrol,25,25,1530 kg,1100 kg
Hyundai,Xcent Prime,T+ Crdi,1197,4,43,Diesel,20.14,20.14,1530 kg,1100 kg
Hyundai,Xcent Prime,T Crdi,1197,4,43,Diesel,20,20,1530 kg,1100 kg
Maruti Suzuki,Dzire Tour,Ldi,1248,4,42,Diesel,14.6,14.6,1505 kg,1045 kg
Maruti Suzuki,Dzire Tour,Lxi,1197,4,42,Petrol,16.3,16.3,1415 kg,935 kg
Maruti Suzuki,Dzire Tour,Lxi Cng,1197,4,42,CNG,26.6,26.6,1415 kg,935 kg
Hyundai,Elite I20,Era 1.2,1197,4,45,Petrol,13.3,13.3,1170 kg,1066 kg
Hyundai,Elite I20,Era 1.4 Crdi,1396,4,45,Diesel,18.4,18.4,1170 kg,1510 kg
Hyundai,Elite I20,Magna Plus,1197,4,45,Petrol,13.3,13.3,1170 kg,1058 kg
Hyundai,Elite I20,Magna Plus Crdi,1396,4,45,Diesel,18.4,18.4,1170 kg,1510 kg
Hyundai,Elite I20,Sportz Plus,1197,4,45,Petrol,13.3,13.3,1170 kg,1060 kg
Hyundai,Elite I20,Sportz Plus Crdi Dual Tone,1396,4,45,Diesel,18.4,18.4,1170 kg,1515 kg
Hyundai,Elite I20,Asta (O) 1.2,1197,4,45,Petrol,13.3,13.3,1170 kg,1515 kg
Hyundai,Elite I20,Asta (O) Crdi,1396,4,45,Diesel,18.4,18.4,1170 kg,1515 kg
Hyundai,Elite I20,Asta (O) Cvt,1197,4,45,Petrol,13.3,13.3,1170 kg,1066 kg
Hyundai,Elite I20,Sportz Plus Dual Tone,1197,4,45,Petrol,13.3,13.3,1170 kg,1060 kg
Hyundai,Elite I20,Sportz Plus Cvt,1197,4,45,Petrol,13.3,13.3,1170 kg,1060 kg
Hyundai,Elite I20,Sportz Plus Crdi,1396,4,45,Diesel,18.4,18.4,1170 kg,1515 kg
Hyundai,Aura,E 1.2 Petrol,1197,4,37,Petrol,20.5,20.5,,
Hyundai,Aura,S 1.2 Petrol,1197,4,37,Petrol,20.5,20.5,,
Hyundai,Aura,S 1.2 Amt Petrol,1197,4,37,Petrol,20.1,20.1,,
Hyundai,Aura,Sx 1.2 Petrol,1197,4,37,Petrol,20.5,20.5,,
Hyundai,Aura,Sx Plus 1.2 Amt Petrol,1197,4,37,Petrol,20.1,20.1,,
Hyundai,Aura,Sx (O) 1.2 Petrol,1197,4,37,Petrol,20.5,20.5,,
Hyundai,Aura,S 1.2 Cng Petrol (Cng +,1197,4,37,CNG + Petrol,20.5,20.5,,
Hyundai,Aura,Sx Plus 1.0 Petrol,998,4,37,Petrol,20.5,20.5,,
Hyundai,Aura,S 1.2 Diesel,1186,4,37,Diesel,25.35,25.35,,
Hyundai,Aura,S 1.2 Amt Diesel,1186,4,37,Diesel,20.4,20.4,,
Hyundai,Aura,Sx Plus 1.2 Amt Diesel,1186,4,37,Diesel,25.4,25.4,,
Hyundai,Aura,Sx (O) 1.2 Diesel,1186,4,37,Diesel,25.35,25.35,,
Volkswagen,Polo,Trendline 1.0L (P),999,3,45,Petrol,14,14,1520 kg,1033 kg
Volkswagen,Polo,Comfortline 1.0 (P),999,3,45,Petrol,14,14,1520 kg,1049 kg
Volkswagen,Polo,Highline Plus 1.0 (P),999,3,45,Petrol,14,14,1520 kg,1053 kg
Volkswagen,Polo,Trendline 1.5L (D),1498,4,45,Diesel,19,19,1520 kg,1033 kg
Volkswagen,Polo,Comfortline 1.5 (D),1498,4,45,Diesel,19,19,1620 kg,1142 kg
Volkswagen,Polo,Highline Plus 1.5 (D),1498,4,45,Diesel,19,19,1620 kg,1158 kg
Volkswagen,Polo,Gt Tsi,1197,4,45,Petrol,17,17,1580 kg,1109 kg
Volkswagen,Polo,Gt Tdi,1498,4,45,Diesel,19,19,1620 kg,1148 kg
Maruti Suzuki,Dzire,Lxi,1197,4,37,Petrol,16.3,16.3,1315 kg,860 kg
Maruti Suzuki,Dzire,Vxi,1197,4,37,Petrol,16.3,16.3,1315 kg,872 kg
Maruti Suzuki,Dzire,Ldi,1248,4,37,Diesel,28.4,28.4,1405 kg,955 kg
Maruti Suzuki,Dzire,Zxi,1197,4,37,Petrol,16.3,16.3,1315 kg,882 kg
Maruti Suzuki,Dzire,Vdi,1248,4,37,Diesel,28.4,28.4,1405 kg,967 kg
Maruti Suzuki,Dzire,Vxi Amt,1197,4,37,Petrol,16.3,16.3,1315 kg,872 kg
Maruti Suzuki,Dzire,Zdi Amt,1248,4,37,Diesel,28.4,28.4,1405 kg,978 kg
Maruti Suzuki,Dzire,Zdi,1248,4,37,Diesel,28.4,28.4,1405 kg,978 kg
Maruti Suzuki,Dzire,Zxi Plus,1197,4,37,Petrol,16.3,16.3,1315 kg,895 kg
Maruti Suzuki,Dzire,Zxi At,1197,4,37,Petrol,16.3,16.3,1315 kg,882 kg
Maruti Suzuki,Dzire,Zxi Plus Amt,1197,4,37,Petrol,16.3,16.3,1315 kg,990 kg
Maruti Suzuki,Dzire,Zdi Plus,1248,4,37,Diesel,28.4,28.4,1405 kg,895 kg
Maruti Suzuki,Dzire,Vdi Amt,1248,4,37,Diesel,28.4,28.4,1405 kg,967 kg
Maruti Suzuki,Dzire,Zdi Plus Amt,1248,4,37,Diesel,28.4,28.4,1405 kg,990 kg
Ford,Freestyle,1.5L Tdci Ambiente,1498,4,40,Diesel,24.4,24.4,,1062 kg
Ford,Freestyle,1.5L Tdci Titanium,1498,4,40,Diesel,24.4,24.4,,1074 kg
Ford,Freestyle,1.5L Tdci Titanium Plus,1498,4,40,Diesel,24.4,24.4,,1080 kg
Ford,Freestyle,1.2L Ti-Vct Ambiente,1194,3,42,Petrol,19,19,,1026 kg
Ford,Freestyle,1.2L Ti-Vct Titanium,1194,3,42,Petrol,19,19,,1038 kg
Ford,Freestyle,1.2L Ti-Vct Titanium Plus,1194,3,42,Petrol,19,19,,1044 kg
Ford,Freestyle,1.2L Ti-Vct Trend Plus,1194,3,42,Petrol,19,19,,1032 kg
Ford,Freestyle,1.5L Tdci Trend Plus,1498,3,42,Diesel,24.4,24.4,,1068 kg
Volkswagen,Ameo,Trendline 1.5L Tdi,1498,4,45,Diesel,15.3,15.3,1500 kg,1044 kg
Volkswagen,Ameo,Comfortline 1.5L Tdi,1498,4,45,Diesel,15.3,15.3,1500 kg,1044 kg
Volkswagen,Ameo,Highline Plus 1.5L Tdi Dsg,1498,4,45,Diesel,15.3,15.3,1630 kg,1184 kg
Volkswagen,Ameo,Highline Plus 1.5L Tdi,1498,4,45,Diesel,15.3,15.3,1500 kg,1044 kg
Volkswagen,Ameo,Trendline 1.0L,999,3,45,Petrol,19,19,1500 kg,1027 kg
Volkswagen,Ameo,Comfortline 1.0L,999,3,45,Petrol,19,19,1500 kg,1039 kg
Volkswagen,Ameo,Highline Plus 1.0L,999,3,45,Petrol,19,19,1500 kg,1050 kg
Volkswagen,Ameo,Gt Line Tdi Dsg,1498,4,45,Diesel,15.3,15.3,1630 kg,1184 kg
Ford,Aspire,1.2 Ti-Vct Ambiente,1194,4,42,Petrol,20.4,20.4,,1016-1043 kg
Ford,Aspire,1.2 Ti-Vct Trend Plus,1194,4,42,Petrol,20.4,20.4,,1016-1043 kg
Ford,Aspire,1.2 Ti-Vct Trend,1194,4,42,Petrol,20.4,20.4,,1016-1043 kg
Ford,Aspire,1.5 Tdci Ambiente,1498,4,40,Diesel,26.1,26.1,,1053-1080 kg
Ford,Aspire,1.5 Tdci Trend,1498,4,40,Diesel,26.1,26.1,,1053-1080 kg
Ford,Aspire,1.5 Tdci Trend Plus,1498,4,40,Diesel,26.1,26.1,,1053-1080 kg
Ford,Aspire,1.5 Tdci Titanium,1498,4,40,Diesel,26.1,26.1,,1053-1080 kg
Ford,Aspire,1.5 Tdci Titanium Plus,1498,4,40,Diesel,26.1,26.1,,1053-1080 kg
Ford,Aspire,1.2 Ti-Vct Titanium Plus,1194,4,42,Petrol,19.4,19.4,,
Ford,Aspire,1.2 Ti-Vct Titanium,1194,4,42,Petrol,19.4,19.4,,1016-1043 kg
Ford,Aspire,1.2 Trend Plus Cng,1194,4,42,CNG,20.4,20.4,,1016-1043 kg
Ford,Aspire,1.2 Ti-Vct Blu,1194,4,42,Petrol,19.4,19.4,,1016-1043 kg
Ford,Aspire,1.5 Tdci Blu,1498,4,40,Diesel,26.1,26.1,,1053-1080 kg
Toyota,Platinum Etios,G,1496,4,45,Petrol,13.6,13.6,1285 kg,935 kg
Toyota,Platinum Etios,V,1496,4,45,Petrol,13.6,13.6,1285 kg,935 kg
Toyota,Platinum Etios,Gd,1364,4,45,Diesel,20.32,20.32,1650 kg,1020 kg
Toyota,Platinum Etios,Vd,1364,4,45,Diesel,20.3,20.3,1650 kg,1020 kg
Toyota,Platinum Etios,Vxd,1364,4,45,Diesel,20.32,20.32,,1020 kg
Toyota,Platinum Etios,Vx,1496,4,45,Petrol,13.6,13.6,,990 kg
Toyota,Platinum Etios,Gx,1496,4,45,Petrol,13.6,13.6,1285 kg,935 kg
Toyota,Platinum Etios,Gxd,1364,4,45,Diesel,20.3,20.3,1650 kg,1020 kg
Toyota,Platinum Etios,Vxd Limited Edition,1364,4,45,Diesel,20.32,20.32,,1020 kg
Toyota,Platinum Etios,Vx Limited Edition,1496,4,45,Petrol,13.6,13.6,,990 kg
Toyota,Etios Cross,V,1496,4,45,Petrol,15,15,,950 kg
Toyota,Etios Cross,G,1197,4,45,Petrol,16.78,16.78,,935 kg
Toyota,Etios Cross,Vd,1364,4,45,Diesel,18.1,18.1,,1030 kg
Toyota,Etios Cross,Gd,1364,4,45,Diesel,18.1,18.1,,1015 kg
Toyota,Etios Cross,1.2 X Edition,1197,4,45,Petrol,16.78,16.78,,935 kg
Toyota,Etios Cross,1.4 X Edition,1364,4,45,Diesel,18.1,18.1,,1015 kg
Mahindra,Verito Vibe,D2,1461,4,50,Diesel,18,18,1655 kg,1155 kg
Mahindra,Verito Vibe,D4,1461,4,50,Diesel,18,18,1655 kg,1155 kg
Mahindra,Verito Vibe,D6,1461,4,50,Diesel,18,18,1655 kg,1155 kg
Fiat,Urban Cross,1.3 Multijet Active,1248,4,45,Diesel,20,20,,1210 kg
Fiat,Urban Cross,1.3 Multijet Dynamic,1248,4,45,Diesel,20,20,205 kg,1215 kg
Fiat,Urban Cross,1.4 T-Jet Emotion,1368,4,45,Petrol,17,17,,1215 kg
Fiat,Urban Cross,1.3 Multijet Emotion,1248,4,45,Diesel,20,20,,1215 kg
Toyota,Glanza,G Hybrid,1197,4,37,Petrol,23.87,23.87,1360 kg,910 kg
Toyota,Glanza,V,1197,4,37,Petrol,21.01,21.01,1340 kg,890 kg
Toyota,Glanza,G Cvt,1197,4,37,Petrol,19.56,19.56,1360 kg,935 kg
Toyota,Glanza,V Cvt,1197,4,37,Petrol,19.56,19.56,1360 kg,935 kg
Toyota,Glanza,G Mt,1197,4,37,Petrol,19.56,19.56,1360 kg,935 kg
Fiat,Avventura,Multijet Dynamic,1248,4,45,Diesel,11.2,11.2,,1245 kg
Fiat,Avventura,Multijet Active,1248,4,45,Diesel,11.2,11.2,,1240 kg
Fiat,Avventura,Multijet Emotion,1248,4,45,Diesel,11.2,11.2,,1255 kg
Honda,Jazz,V Petrol,1199,4,40,Petrol,11.3,11.3,,1042 kg
Honda,Jazz,Vx Cvt,1199,4,40,Petrol,11.3,11.3,,1066 kg
Honda,Jazz,Vx Petrol,1199,4,40,Petrol,11.3,11.3,,1044 kg
Honda,Jazz,V Cvt,1199,4,40,Petrol,11.3,11.3,,1064 kg
Honda,Jazz,S Diesel,1498,4,40,Diesel,12,12,,1139 kg
Honda,Jazz,V Diesel,1498,4,40,Diesel,12,12,,1146 kg
Honda,Jazz,Vx Diesel,1498,4,40,Diesel,12,12,,1155 kg
Honda,Jazz,Exclusive Edition Cvt,1199,4,40,Petrol,18.2,18.2,,1066 kg
Jeep,Compass Trailhawk,2.0 Trailhawk 4X4 At,1956,4,60,Diesel,16.3,16.3,,1654 kg
Jeep,Compass Trailhawk,2.0 Trailhawk (O) 4X4 At,1956,4,60,Diesel,16.3,16.3,,1654 kg
Isuzu,Mu-X,4X2,2999,4,76,Diesel,13.8,13.8,,
Isuzu,Mu-X,4X4,2999,4,76,Diesel,13.8,13.8,,
Mahindra,Alturas G4,2Wd At,2157,4,70,Diesel,12.35,12.35,,
Mahindra,Alturas G4,4Wd At,2157,4,70,Diesel,12.05,12.05,,
Volkswagen,Tiguan,Comfortline 2.0L Tdi Amt,1968,4,71,Diesel,17.06,17.06,2250 kg,1720 kg
Volkswagen,Tiguan,Highline 2.0L Tdi Amt,1968,4,71,Diesel,17.06,17.06,2250 kg,1720 kg
Honda,Cr-V,2Wd Petrol Cvt,1997,4,57,Petrol,14.4,14.4,,
Honda,Cr-V,2Wd Diesel At,1597,4,57,Diesel,19.5,19.5,,
Honda,Cr-V,Awd Diesel At,1597,4,57,Diesel,18.3,18.3,,1725 kg
Skoda,Superb Sportline,Sportline 1.8L Tsi At,1798,4,66,Petrol,11.3,11.3,2030 kg,1540 kg
Skoda,Superb Sportline,Sportline 2.0L Tdi At,1968,4,66,Diesel,15.1,15.1,2060 kg,1565 kg
Audi,A3,35 Tdi Premium Plus,1968,4,50,Diesel,18,18,1890 kg,1340 kg
Audi,A3,35 Tdi Technology,1968,4,50,Diesel,18,18,1890 kg,1340 kg
Audi,A3,35 Tfsi Premium Plus,1395,4,50,Petrol,12.4,12.4,1890 kg,1340 kg
Audi,A3,35 Tfsi Technology,1395,4,50,Petrol,12.4,12.4,1890 kg,1340 kg
Mercedes,Mercedes-Benz B-Class,B 180 Sport,1595,4,50,Petrol,9.5,9.5,1950 kg,1425 kg
Mercedes,Mercedes-Benz B-Class,B 200 Cdi Sport,2143,4,50,Diesel,11.5,11.5,2025 kg,1577 kg
Mercedes,Mercedes-Benz B-Class,B 180 Night Edition,1595,4,50,Petrol,9.5,9.5,1950 kg,1425 kg
Mercedes,Mercedes-Benz B-Class,B 200 Cdi Night Edition,2143,4,50,Diesel,11.5,11.5,2025 kg,1577 kg
Mercedes,Mercedes-Benz Cla-Class,200 Sport,1991,4,56,Petrol,11.04,11.04,1955 kg,1510 kg
Mercedes,Mercedes-Benz Cla-Class,200 Cdi Style,2143,4,56,Diesel,13.9,13.9,2005 kg,1570 kg
Mercedes,Mercedes-Benz Cla-Class,200 D Sport,2143,4,56,Diesel,13.9,13.9,2005 kg,1570 kg
Skoda,Kodiaq,Style 2.0 Tdi 4X4 At,1968,4,66,Diesel,15.1,15.1,2060 kg,1565 kg
Skoda,Kodiaq,Laurin And Klement,1968,4,66,Diesel,15.1,15.1,2060 kg,1565 kg
Skoda,Kodiaq,Corporate Edition,1968,4,66,Diesel,15.1,15.1,2060 kg,1565 kg
Dc,Avanti,Standard,2000,4,60,Petrol,8,8,1580 kg,1580 kg
Audi,Q3,30 Tdi Premium Fwd,1968,4,64,Diesel,12,12,2185 kg,1585 kg
Audi,Q3,35 Tdi Quattro Premium Plus,1968,4,64,Diesel,12,12,2185 kg,1685 kg
Audi,Q3,35 Tdi Quattro Technology,1968,4,64,Diesel,12,12,2185 kg,1585 kg
Audi,Q3,30 Tfsi Premium,1395,4,64,Petrol,12,12,2185 kg,1585 kg
Mini,Cooper 5 Door,Cooper D,1496,3,44,Petrol,10.3,10.3,,1295 kg
Mini,Convertible,Cooper S,1998,4,44,Petrol,14.59,14.59,,1370 kg
Volvo,Xc40,D4 Momentum,1969,5,54,Diesel,0,0,,
Volvo,Xc40,D4 Inscription,1969,5,54,Diesel,0,0,,
Volvo,Xc40,T4 R-Design,1969,5,54,Petrol,0,0,,
Mini,Clubman,Cooper S,1998,4,44,Petrol,12.3,12.3,,1960 kg
Audi,A4,Premium Plus 35 Tfsi,1395,4,54,Petrol,0,0,1945 kg,1450 kg
Audi,A4,Technology 35 Tfsi,1395,4,54,Petrol,0,0,1945 kg,1450 kg
Mini,John Cooper Works,Hatch,1998,4,44,Petrol,16.47,16.47,1710 kg,1330 kg
Jaguar,Xe,S Petrol,1997,4,61,Petrol,11,11,2150 kg,1639 kg
Jaguar,Xe,S Diesel,1999,4,56,Diesel,11,11,2190 kg,1611 kg
Jaguar,Xe,Se Diesel,1999,4,56,Diesel,11,11,2190 kg,1611 kg
Jaguar,Xe,Se Petrol,1997,4,61,Petrol,11,11,2150 kg,1639 kg
Jaguar,Xf,2.0 Prestige,1999,4,74,Petrol,5.7,5.7,2210 kg,1730 kg
Jaguar,Xf,2.0 Portfolio,1999,4,82,Petrol,5.7,5.7,2210 kg,1871 kg
Jaguar,Xf,2.0 Portfolio Diesel,1999,4,83,Diesel,5.7,5.7,2250 kg,1871 kg
Jaguar,Xf,2.0 Prestige Diesel,1999,4,66,Diesel,5.7,5.7,2250 kg,1729 kg
Jaguar,Xf,2.0 Pure Diesel,1999,4,66,Diesel,5.7,5.7,2250 kg,1687 kg
Audi,A3 Cabriolet,40 Tfsi,1395,4,50,Petrol,19.2,19.2,1930 kg,1430 kg
